,Participant_ID,Condition_Name,Starting_Plateau_Idx,Cycle_Idx,Decline_First_Selection
465,1,Bergmann Colored vs. Gray,1,0,1.0
466,1,Bergmann Colored vs. Gray,1,2,0.0
467,1,Bergmann Colored vs. Gray,1,3,0.0
468,1,Bergmann Colored vs. Gray,1,4,0.0
469,1,Bergmann Colored vs. Gray,1,5,0.0
470,1,Bergmann Colored vs. Gray,1,7,1.0
471,1,Bergmann Colored vs. Gray,1,8,0.0
472,1,Bergmann Colored vs. Gray,1,9,1.0
473,1,Bergmann Colored vs. Gray,1,10,1.0
474,1,Bergmann Colored vs. Gray,1,11,0.0
475,1,Bergmann Colored vs. Gray,1,12,1.0
476,1,Bergmann Colored vs. Gray,1,13,0.0
477,1,Bergmann Colored vs. Gray,1,14,1.0
478,1,Bergmann Colored vs. Gray,1,15,0.0
479,1,Bergmann Colored vs. Gray,1,17,0.0
480,1,Bergmann Colored vs. Gray,1,18,1.0
481,1,Bergmann Colored vs. Gray,1,19,1.0
482,1,Bergmann Colored vs. Gray,1,20,1.0
483,1,Bergmann Colored vs. Gray,1,22,0.0
484,1,Bergmann Colored vs. Gray,1,23,1.0
485,1,Bergmann Colored vs. Gray,1,24,1.0
486,1,Bergmann Colored vs. Gray,1,25,0.0
487,1,Bergmann Colored vs. Gray,1,26,1.0
488,1,Bergmann Colored vs. Gray,1,27,0.0
489,1,Bergmann Colored vs. Gray,1,28,1.0
490,1,Bergmann Colored vs. Gray,1,29,1.0
491,1,Bergmann Colored vs. Gray,1,30,1.0
492,1,Bergmann Colored vs. Gray,1,31,0.0
493,1,Bergmann Colored vs. Gray,1,0,0.0
494,1,Bergmann Colored vs. Gray,1,1,0.0
495,1,Bergmann Colored vs. Gray,1,2,1.0
496,1,Bergmann Colored vs. Gray,1,3,0.0
497,1,Bergmann Colored vs. Gray,1,4,1.0
498,1,Bergmann Colored vs. Gray,1,5,1.0
499,1,Bergmann Colored vs. Gray,1,6,0.0
500,1,Bergmann Colored vs. Gray,1,7,0.0
501,1,Bergmann Colored vs. Gray,1,8,0.0
502,1,Bergmann Colored vs. Gray,1,9,0.0
503,1,Bergmann Colored vs. Gray,1,10,1.0
504,1,Bergmann Colored vs. Gray,1,11,0.0
505,1,Bergmann Colored vs. Gray,1,12,0.0
506,1,Bergmann Colored vs. Gray,1,13,0.0
507,1,Bergmann Colored vs. Gray,1,15,0.0
