,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,Condition_Name,Selection
251,56,1,3,53,T3,pentagon_to_star,pentagon_to_star_trans,0,0,1,978,0,Online,0
252,56,1,3,54,T4,pentagon_to_star,pentagon_to_star_trans,1,0,4,1278,1,Online,1
253,56,1,3,55,T5,pentagon_to_star,pentagon_to_star_trans,0,1,1,1525,1,Online,0
254,56,1,3,56,T6,pentagon_to_star,pentagon_to_star_trans,0,1,1,1116,1,Online,0
255,56,1,3,57,T7,pentagon_to_star,pentagon_to_star_trans,0,0,1,2144,0,Online,0
256,56,1,3,58,T8,pentagon_to_star,pentagon_to_star_trans,0,0,3,1948,0,Online,0
257,56,1,3,59,T9,pentagon_to_star,pentagon_to_star_trans,1,0,4,2843,1,Online,1
258,56,1,3,60,T10,pentagon_to_star,pentagon_to_star_trans,0,0,4,2705,0,Online,0
259,56,1,3,61,T11,pentagon_to_star,pentagon_to_star_trans,0,0,3,1591,0,Online,0
260,56,1,3,62,T12,pentagon_to_star,pentagon_to_star_trans,0,0,4,1491,0,Online,0
261,56,1,3,63,T13,pentagon_to_star,pentagon_to_star_trans,1,0,2,1937,1,Online,1
262,56,1,3,64,P1,star_to_pentagon,star_plateau,1,0,2,1374,1,Online,1
263,56,1,3,65,P2,star_to_pentagon,star_plateau,1,0,2,1258,1,Online,1
264,56,1,3,66,P3,star_to_pentagon,star_plateau,0,0,2,1425,0,Online,0
265,56,1,3,67,T1,star_to_pentagon,star_to_pentagon_trans,0,0,4,1011,0,Online,0
266,56,1,3,68,T2,star_to_pentagon,star_to_pentagon_trans,0,0,1,979,0,Online,0
267,56,1,3,69,T3,star_to_pentagon,star_to_pentagon_trans,0,0,2,1718,0,Online,0
268,56,1,3,70,T4,star_to_pentagon,star_to_pentagon_trans,0,1,4,1932,1,Online,0
269,56,1,3,71,T5,star_to_pentagon,star_to_pentagon_trans,0,0,1,2153,0,Online,0
270,56,1,3,72,T6,star_to_pentagon,star_to_pentagon_trans,1,0,4,2165,1,Online,1
271,56,1,3,73,T7,star_to_pentagon,star_to_pentagon_trans,0,0,4,2064,0,Online,0
272,56,1,3,74,T8,star_to_pentagon,star_to_pentagon_trans,0,1,2,1648,1,Online,0
273,56,1,3,75,T9,star_to_pentagon,star_to_pentagon_trans,1,0,2,2153,1,Online,1
274,56,1,3,76,T10,star_to_pentagon,star_to_pentagon_trans,1,0,3,2060,1,Online,1
275,56,1,3,77,T11,star_to_pentagon,star_to_pentagon_trans,0,0,4,1236,0,Online,0
276,56,1,3,78,T12,star_to_pentagon,star_to_pentagon_trans,1,0,1,1013,1,Online,1
